
running 1 test
177 0.071297568 0.007832307 0.001229936
159 0.051051965 0.004672784 0.000856223
68 0.004382454 0.000941544 0.000076146
10 0.000021609 0.000012823 0.000003596
63 0.003149277 0.000537557 0.000055783
108 0.015434764 0.002223421 0.000285129
138 0.036719410 0.003917648 0.000430070
122 0.020553692 0.003723200 0.000456885
55 0.003137059 0.000609431 0.000043667
66 0.005090127 0.000792043 0.000082637
89 0.010049391 0.001934195 0.000170332
178 0.093779460 0.008229968 0.001129625
156 0.051397055 0.004483032 0.000647696
45 0.000941656 0.000239267 0.000020407
16 0.000062354 0.000024217 0.000004543
114 0.025910454 0.002287312 0.000218514
251 0.203189309 0.015307309 0.002358307
183 0.075502553 0.006085123 0.001319365
118 0.020720918 0.002911844 0.000230393
179 0.078963413 0.007594290 0.001107712
89 0.011993234 0.001735325 0.000147586
154 0.046221776 0.005225376 0.000816841
132 0.030153991 0.002830971 0.000344807
79 0.006749388 0.001226072 0.000129694
13 0.000042450 0.000023014 0.000004922
249 0.202539149 0.013093645 0.002232091
27 0.000229930 0.000082056 0.000008284
203 0.101423138 0.009934223 0.001888149
210 0.121608105 0.011707064 0.001940722
156 0.054947279 0.006610113 0.000593353
78 0.004840216 0.000901723 0.000110803
85 0.006136395 0.001060305 0.000101820
64 0.003699926 0.000904527 0.000092733
150 0.041279295 0.003777461 0.000512502
220 0.128290322 0.012275720 0.001510150
172 0.064765149 0.006584978 0.001098233
48 0.001325818 0.000297550 0.000030810
54 0.001571390 0.000380528 0.000037428
210 0.111904402 0.008677544 0.001900358
83 0.007891567 0.000997471 0.000103523
64 0.002588760 0.000541444 0.000041252
158 0.043402438 0.004223375 0.000594865
108 0.015788679 0.001986689 0.000194590
161 0.044072900 0.004763499 0.000701559
243 0.183255013 0.016061366 0.003515196
29 0.000404184 0.000152568 0.000013812
214 0.133650295 0.012026854 0.002188516
124 0.027000660 0.002645214 0.000300431
29 0.000464501 0.000152828 0.000015760
169 0.066599624 0.006741188 0.001048640
123 0.026623589 0.003772113 0.000393402
84 0.008393437 0.001156894 0.000104598
4 0.000006166 0.000001368 0.000000825
224 0.137261965 0.010843513 0.002149805
206 0.115474128 0.010148267 0.001296146
180 0.065161952 0.007340690 0.001091040
210 0.107342759 0.009211960 0.001314027
74 0.003896711 0.000738726 0.000072590
68 0.004500412 0.001009925 0.000081491
98 0.011462141 0.001622787 0.000152213
61 0.002339053 0.000484218 0.000042889
191 0.112659504 0.010360711 0.001149451
7 0.000007559 0.000004676 0.000001750
181 0.078828727 0.005778249 0.000905497
48 0.001111388 0.000288564 0.000026581
74 0.004043054 0.000769725 0.000073026
192 0.095806302 0.010580113 0.001579692
68 0.004688137 0.001048630 0.000081429
22 0.000181183 0.000076295 0.000007916
172 0.071079518 0.007521185 0.001247039
145 0.046052946 0.005435563 0.000566908
196 0.091833105 0.008160918 0.001446659
201 0.093364606 0.009490464 0.001182841
177 0.068991007 0.008578937 0.000992501
200 0.101041618 0.008239261 0.001922410
94 0.009656679 0.001518441 0.000153435
114 0.018754818 0.002099392 0.000253748
162 0.044569273 0.004508985 0.000869802
109 0.014662203 0.002397210 0.000198010
40 0.000633429 0.000261164 0.000022580
97 0.009198592 0.001743241 0.000225587
8 0.000016249 0.000008817 0.000002739
130 0.030754281 0.003967818 0.000473488
169 0.061442132 0.007615531 0.000737840
68 0.003099096 0.000622260 0.000058603
